"Lake","Year","Date","DOYtrunc","BGA_YSI","BGA_HYLB","Chl_YSI","Chl_HYLB","DO_YSI","DO_HYLB","DOlocalSat_YSI","DOlocalSat_HYLB","pH_YSI","pH_HYLB","SpCond_YSI","SpCond_HYLB","Temp_YSI","Temp_HYLB","BGA_YSI_ugL_correctedToFLAMe","Chl_YSI_ugL_correctedToFLAMe","BGA_logged_HYLB","Manual_Chl"
"L",2018,2018-07-31,212,0.0234123730750825,170.164234896444,1.73255273127792,3.09048345451794,7.82142361111111,7.78204861111111,98.96875,98.2340277777778,6.66739583333333,6.40711805555556,11,11,23.7505902777778,23.6441319444444,NA,NA,2.13862994524629,2.62552806576581
"L",2018,2018-08-01,213,0.0290973601479992,187.972222222222,1.86463354789333,3.67933652835557,7.69332683950899,7.66965277777778,96.7966401185341,96.5368055555556,6.64342810363931,6.38746527777778,11.0000000868297,11,23.4616155556726,23.4969097222222,NA,NA,2.26990318749895,3.97613848237798
"L",2018,2018-08-02,214,0.0392455800964745,216.842760169696,1.83272566002012,3.80579876800694,7.55944444444444,7.50947142438625,92.2791666666667,91.7250805524667,6.59902389658406,6.34641123981341,11,10.9999997178827,21.8793402777778,21.9347948676047,NA,NA,2.33199620594974,4.29724949501237
"L",2018,2018-08-03,215,0.0405315262635451,208.466540051383,1.58611111111111,3.22255338240135,7.58340277777778,7.51704499185755,92.1048611111111,91.2483757428199,6.59183758709377,6.34963126270132,11,10.9999997178827,21.6094444444444,21.6079482516711,NA,NA,2.28917258722145,4.60060381391077
"L",2018,2018-08-04,216,0.0420214367014402,220.21875,1.66666666666667,3.60531202532231,7.68267361111111,7.63350694444444,93.475,92.8364583333333,6.60986111111111,6.33361111111111,11,11,21.7028819444444,21.7086111111111,NA,NA,2.33901081916814,3.50305868576223
"L",2018,2018-08-05,217,0.0375135768992246,208.213458977616,1.48549573423777,2.8405974877489,7.68416666666667,7.61241886643416,93.9722222222222,92.9748749000833,6.63746527777778,6.35119647675473,11,10.9999994350908,21.9578819444444,21.9231186049257,NA,NA,2.25507531138357,3.22433043846849
"L",2018,2018-08-06,218,0.0297415110587536,198.857880455043,1.41290845031301,2.78611840454004,7.79138499572355,7.82449981115262,97.2245774547052,97.600176329676,6.64182327057812,6.31909627419945,11.0000272281833,10.9999761992467,23.2543397439995,23.1462800959172,NA,NA,2.16267577656857,5.58635953806449
"L",2018,2018-08-07,219,0.0296071336386884,175.919099763873,1.31180555555556,2.45612913103975,7.81645833333333,7.98104166666667,96.63125,98.7586805555556,6.59182227992976,6.30104689367146,11,11,22.9627430555556,22.9022222222222,NA,NA,2.24205042917283,3.56728088828911
"L",2018,2018-08-08,220,0.0247151890916202,174.373570924728,1.40238968786609,2.51671584161204,7.84454861111111,7.89519814214565,97.6944444444444,98.4403105950139,6.61183068022634,6.33691426363836,11,10.9999981128349,23.3527430555556,23.302777435378,NA,NA,2.16748969615607,3.27591557793508
"L",2018,2018-08-09,221,0.0246180555555556,163.347354346954,1.26654626481947,2.29035482517272,7.82392361111111,7.77865498925245,98.2861111111111,97.8123420387526,6.63172536778726,6.32281080630961,11,10.9999786024565,23.8128819444444,23.7476490430398,NA,NA,2.16318261619159,2.9621275813305
