"lake","year","DOY","Chla","ZBgrav","LMinnCPE"
"Peter",2009,145,2.55217,0.1333,5.167
"Peter",2009,146,3.24689,0.075455,4.467
"Peter",2009,147,3.89886,0.100125,4
"Peter",2009,148,3.52562,0.112635,3.933
"Peter",2009,149,3.21795,0.129425,3.433
"Peter",2009,150,2.81949,0.128045,3.267
"Peter",2009,151,2.86992,0.101525,2.533
"Peter",2009,152,3.42474,0.091955,2.067
"Peter",2009,153,3.85347,0.119275,2.6
"Peter",2009,154,3.53571,0.13583,1.467
"Peter",2009,155,2.62782,0.106185,3.467
"Peter",2009,156,2.58747,0.084655,3.033
"Peter",2009,157,2.8094,0.109595,3.033
"Peter",2009,158,2.94558,0.112615,2.6
"Peter",2009,159,3.54075,0.08602,2.1
"Peter",2009,160,3.33395,0.107725,3.4
"Peter",2009,161,2.81949,0.120465,2.667
"Peter",2009,162,2.81949,0.099295,2.8
"Peter",2009,163,2.69339,0.081595,4.167
"Peter",2009,164,2.6026,0.09028,7.067
"Peter",2009,165,3.11203,0.13723,6.1
"Peter",2009,166,2.9708,0.10696,8.533
"Peter",2009,167,3.06159,0.105745,10.167
"Peter",2009,168,3.12716,0.130165,9
"Peter",2009,169,3.03133,0.11811,8.667
"Peter",2009,170,3.70215,0.106555,6.033
"Peter",2009,171,3.83329,0.13735,6.533
"Peter",2009,172,3.69711,0.11203,7.067
"Peter",2009,173,4.05017,0.08349,6.3
"Peter",2009,174,4.2368,0.07724,6.3
"Peter",2009,175,4.21158,0.09923,6.7
"Peter",2009,176,4.41333,0.10486,5.867
"Peter",2009,177,4.92275,0.11933,7.1
"Peter",2009,178,5.71967,0.09481,7.033
"Peter",2009,179,6.91901,0.1373,7
"Peter",2009,180,8.55877,0.09254,5.533
"Peter",2009,181,8.55877,0.08826,4.767
"Peter",2009,182,8.31881,0.07982,5.133
"Peter",2009,183,6.83902,0.07011,5.5
"Peter",2009,184,6.59905,0.05849,3.933
"Peter",2009,185,5.39687,0.06176,3.833
