"period","daysAfter","mean_percent_change","sd_percent_change","number_percent_change","lake","median_percent_change"
"after heatwave",2,-2.21966833217011,25.1999630954277,41,"R",NA
"after heatwave",3,-7.28133213608145,27.2294968071314,41,"R",NA
"after heatwave",4,-9.5779078173814,28.5204587856418,41,"R",NA
"after heatwave",5,-9.41840230411195,29.4553124221194,41,"R",NA
"after heatwave",6,-7.95193354702288,29.016070069273,41,"R",NA
"after heatwave",7,-3.89576754206054,28.198566386614,41,"R",NA
"after heatwave",8,0.813952150022197,25.1000429809002,41,"R",NA
"after heatwave",9,3.07730323249765,23.2779182500071,41,"R",NA
"after heatwave",10,2.75775930684879,22.0706640796098,42,"R",NA
"after heatwave",11,1.45588774256488,22.8240463210926,42,"R",NA
"after heatwave",12,-0.326468323458149,22.5789347150252,42,"R",NA
"after heatwave",13,-2.79573045715515,24.9341531754265,42,"R",NA
"after heatwave",14,-4.3731240860935,26.0840464577835,42,"R",NA
"after heatwave",15,-3.18754664469046,30.6536749721704,41,"R",NA
"after heatwave",16,-0.715083825227312,31.0290350150029,40,"R",NA
"after heatwave",17,1.26362220333297,32.3862672642329,39,"R",NA
"after heatwave",18,2.35109853953732,32.2220752344807,38,"R",NA
"after heatwave",19,3.42042829908346,31.3912347902197,37,"R",NA
"after heatwave",20,1.93525732116083,27.7863899429122,36,"R",NA
"after heatwave",21,-0.473330795123252,28.4000532301077,36,"R",NA
"after heatwave",22,-3.61957041072126,26.7229629629688,36,"R",NA
"after heatwave",23,-4.76202407179109,25.8167096487657,36,"R",NA
"after heatwave",24,-4.98347645505394,25.6174888573648,36,"R",NA
"after heatwave",25,-4.257928990819,25.1493752032693,36,"R",NA
"after heatwave",26,-2.54482662155894,23.6138784619333,36,"R",NA
"after heatwave",27,0.367829251228575,23.2277420094187,36,"R",NA
"after heatwave",28,2.52145582518144,24.9935928172499,36,"R",NA
"after heatwave",29,2.82983532149499,27.742491563627,36,"R",NA
"after heatwave",30,2.97892854821745,29.8454404701637,36,"R",NA
"after heatwave",31,2.39859888948751,30.2228258461999,36,"R",NA
"after heatwave",32,2.16667995757491,29.3783493437047,36,"R",NA
"after heatwave",33,0.856211231520277,26.687613390447,36,"R",NA
"after heatwave",34,2.10657573381734,22.9872041548143,36,"R",NA
"after heatwave",35,3.79441791668746,19.3061330163345,36,"R",NA
"after heatwave",36,5.72319206030467,20.4126360787924,36,"R",NA
"after heatwave",37,5.5443689168686,20.2140580809636,36,"R",NA
"after heatwave",38,8.06898128731287,19.4091164614952,35,"R",NA
"after heatwave",39,9.74598314379081,19.3469432451881,34,"R",NA
"after heatwave",40,8.66150068333608,20.1201912105639,33,"R",NA
"after heatwave",-14,12.1107513448372,40.6204572379467,34,"all",6.3911494279205
"after heatwave",-13,11.7135488687245,40.4205748801032,42,"all",8.75313141107755
"after heatwave",-12,9.44790340814472,39.8417740520859,50,"all",8.28824011141366
"after heatwave",-11,9.44018001537676,39.1451106985442,58,"all",6.66389057003391
"after heatwave",-10,10.334471685252,36.9030597208132,64,"all",8.28824011141366
"after heatwave",-9,7.68921476242316,34.7196929690992,70,"all",5.83556021819324
"after heatwave",-8,3.78807574155798,34.4712215679073,76,"all",2.41850179243275
"after heatwave",-7,1.89855203017533,34.7022492176115,82,"all",1.93147749478798
"after heatwave",-6,-0.28577793287692,34.364013483223,82,"all",0.525716565815036
"after heatwave",-5,-2.88889748934002,34.6434461144927,82,"all",-4.3857656946627
"after heatwave",-4,-2.37800283908141,35.1413909291591,82,"all",-2.70150941640386
"after heatwave",-3,2.22224287321561,34.9088132416623,82,"all",3.41420604601645
"after heatwave",-2,5.31790251945068,33.7204387829789,82,"all",5.18666805227679
"after heatwave",-1,7.04859378083844,32.445923646926,82,"all",5.38975315309237
"after heatwave",0,7.62748739617356,31.7969392700856,82,"all",5.91847517510555
"after heatwave",1,6.44394774721916,32.0095069185406,82,"all",5.18666805227679
"after heatwave",2,3.16916741031957,33.3621438423746,82,"all",1.35084917025381
"after heatwave",3,-0.0220274499835545,34.4979128568454,82,"all",-3.33708568346069
"after heatwave",4,-0.90335406301451,35.5071365803556,82,"all",-3.33708568346069
"after heatwave",5,0.333644151271693,35.9944244168706,82,"all",-0.620280072590371
"after heatwave",6,1.94198018767578,35.8324160149606,82,"all",5.18666805227679
"after heatwave",7,3.04897139349611,34.6213082675586,82,"all",5.18666805227679
"after heatwave",8,4.64030427903936,32.8069325079651,82,"all",5.33717376679011
"after heatwave",9,5.41847629174572,31.9463216864764,82,"all",5.51023968977757
"after heatwave",10,4.56912117554117,31.1600223366241,84,"all",5.18666805227679
"after heatwave",11,3.50094442583612,31.4151864751537,84,"all",4.80516497565231
"after heatwave",12,4.10449356773195,32.2165561655609,84,"all",5.06017418469896
"after heatwave",13,3.61624500573083,33.5281695984315,84,"all",5.18666805227679
"after heatwave",14,2.28324978304578,34.2873126988241,84,"all",4.78720357284216
"after heatwave",15,2.55010502983962,36.4938255609598,82,"all",3.07692528189803
"after heatwave",16,3.20923192453355,36.8075471143186,80,"all",3.07692528189803
"after heatwave",17,2.65291590833361,36.723645833738,78,"all",1.75704800708741
"after heatwave",18,2.05349640524282,36.7325572805184,76,"all",-1.55313968719595
"after heatwave",19,1.65352531918231,36.6011438666736,74,"all",-3.71818295589664
