"lake","year","doy","avg.schmidt.stability"
"Peter",2014,188,174.663495565613
"Peter",2014,189,169.3144551863
"Peter",2014,190,158.463930169961
"Peter",2014,191,156.312769920987
"Peter",2014,192,164.421460635211
"Peter",2014,193,164.191855122988
"Peter",2014,194,166.058906160676
"Peter",2014,195,162.144082450847
"Peter",2014,196,148.350538140822
"Peter",2014,197,140.476813707545
"Peter",2014,198,143.409486357426
"Peter",2014,199,153.119763477273
"Peter",2014,200,159.429797954894
"Peter",2014,201,163.721238159507
"Peter",2014,202,176.555625182258
"Peter",2014,203,192.011355662268
"Peter",2014,204,179.503291524887
"Peter",2014,205,174.21885059585
"Peter",2014,206,182.718328845556
"Peter",2014,207,180.817980466382
"Peter",2014,208,179.82755304023
"Peter",2014,209,166.602605882688
"Peter",2014,210,165.749081499568
"Peter",2014,211,165.879131214089
"Peter",2014,212,167.634646607895
"Peter",2014,213,173.028504099243
"Peter",2014,214,174.082885520882
"Peter",2014,215,183.022446144427
"Peter",2014,216,189.173075939629
"Peter",2014,217,182.355923697463
"Peter",2014,218,181.139804794968
"Peter",2014,219,185.87920467804
"Peter",2014,220,192.220781404669
"Peter",2014,221,196.912676947415
"Peter",2014,222,202.224560927253
"Peter",2014,223,188.436300219889
"Peter",2014,224,174.651167652195
"Peter",2014,225,176.755151016777
"Peter",2014,226,168.504618655756
"Peter",2014,227,166.26988894306
"Peter",2014,228,177.080984354821
"Peter",2014,229,168.342317143969
"Peter",2014,230,164.891805351996
"Peter",2014,231,162.20713286856
"Peter",2014,232,156.731279747487
"Peter",2014,233,156.688353961201
"Peter",2014,234,159.015915338719
"Peter",2014,235,162.318315977249
"Peter",2014,236,165.207178132653
"Peter",2014,237,174.702095325552
"Peter",2014,238,176.374946173519
"Peter",2014,239,171.724055344038
"Peter",2014,240,165.297531783237
"Peter",2014,241,165.954803839069
"Peter",2014,242,156.701320879824
"Peter",2014,243,149.943981899744
"Peter",2014,244,157.196204859359
"Peter",2014,245,151.352633955334
"Peter",2014,246,151.944708132231
"Peter",2014,247,153.264914282253
"Peter",2014,248,146.995562888241
"Peter",2014,249,136.2689469367
"Peter",2014,250,135.130780973779
"Peter",2015,129,76.1678469901187
"Peter",2015,130,67.5022916097408
"Peter",2015,131,66.8905068429328
"Peter",2015,132,55.816367468514
"Peter",2015,133,48.7520574285082
"Peter",2015,134,51.4202639554671
"Peter",2015,135,50.2482117633471
"Peter",2015,136,51.4881231541819
"Peter",2015,137,68.5064481545897
"Peter",2015,138,63.3173981799213
"Peter",2015,139,50.2738004066245
"Peter",2015,140,46.7843914258623
"Peter",2015,141,51.9641264989604
"Peter",2015,142,59.5224813079312
"Peter",2015,143,69.1416129657107
"Peter",2015,144,85.2028963774133
"Peter",2015,145,90.9989731270708
"Peter",2015,146,90.3944972765139
"Peter",2015,147,89.0400221074824
"Peter",2015,148,99.3337221277359
"Peter",2015,149,112.923567322905
"Peter",2015,150,103.443007464736
"Peter",2015,151,90.8200939422475
"Peter",2015,152,92.0179921507854
"Peter",2015,153,99.9523636030697
"Peter",2015,154,105.504072713503
"Peter",2015,155,119.593590079448
"Peter",2015,156,120.009729108949
"Peter",2015,157,121.326682066468
"Peter",2015,158,129.106521387756
"Peter",2015,159,130.93134531628
"Peter",2015,160,133.873024366116
"Peter",2015,161,141.784107505221
"Peter",2015,162,142.596603684663
"Peter",2015,163,138.29492769589
"Peter",2015,164,150.184988123787
"Peter",2015,165,145.914325929272
"Peter",2015,166,145.902184176398
"Peter",2015,167,141.969969663268
"Peter",2015,168,148.970192905162
"Peter",2015,169,145.539555160174
"Peter",2015,170,140.374917169988
"Peter",2015,171,143.417248275179
"Peter",2015,172,139.410419539821
"Peter",2015,173,148.282650222828
"Peter",2015,174,143.817740349907
"Peter",2015,175,157.73044323642
"Peter",2015,176,162.123637282638
"Peter",2015,177,164.328952086513
"Peter",2015,178,173.465600575373
"Peter",2015,179,181.620657648204
"Peter",2015,180,185.721723643546
"Peter",2015,181,168.349454421478
"Peter",2015,182,153.780398202659
"Peter",2015,183,157.9680273472
"Peter",2015,184,167.448831396113
"Peter",2015,185,167.821357854796
"Peter",2015,186,182.600675506538
"Peter",2015,187,180.147758844084
"Peter",2015,188,166.167503662979
"Peter",2015,189,165.977283279828
"Peter",2015,190,171.53855182666
"Peter",2015,191,179.172110124647
"Peter",2015,192,195.704871262028
"Peter",2015,193,208.837031860518
"Peter",2015,194,216.168649279432
"Peter",2015,195,207.410730857118
"Peter",2015,196,194.96464091039
"Peter",2015,197,198.641925135558
"Peter",2015,198,199.683040127155
"Peter",2015,199,211.692419740785
"Peter",2015,200,217.594700097005
"Peter",2015,201,216.7788941285
"Peter",2015,202,207.285665978015
"Peter",2015,203,202.803140084186
"Peter",2015,204,212.847777319741
"Peter",2015,205,222.58417113751
"Peter",2015,206,224.252277064535
"Peter",2015,207,237.380933648377
"Peter",2015,208,248.004214419995
"Peter",2015,209,253.456900230008
"Peter",2015,210,237.449619893877
"Peter",2015,211,218.300718572066
"Peter",2015,212,215.471645306452
"Peter",2015,213,207.55069276341
"Peter",2015,214,209.267449401529
"Peter",2015,215,201.945378550454
"Peter",2015,216,191.029698095075
"Peter",2015,217,180.486964976456
"Peter",2015,218,183.916972027752
"Peter",2015,219,184.08324994919
"Peter",2015,220,178.185352632487
"Peter",2015,221,178.46966699223
"Peter",2015,222,180.545517964195
"Peter",2015,223,184.185766146727
"Peter",2015,224,187.237668802185
"Peter",2015,225,199.008896103699
"Peter",2015,226,211.041632060653
"Peter",2015,227,222.327356024386
"Peter",2015,228,231.420286592794
"Peter",2015,229,230.796980162521
"Peter",2015,230,218.732955382955
"Peter",2015,231,203.332669654972
"Peter",2015,232,182.463746047105
"Peter",2015,233,171.078868830379
"Peter",2015,234,172.841583214257
"Peter",2015,235,161.162288192595
"Peter",2015,236,131.82653418422
"Peter",2015,237,114.767233120985
"Peter",2015,238,109.637910161881
"Peter",2015,239,112.090720679011
"Peter",2015,240,121.579040370324
"Peter",2015,241,122.480626918389
"Peter",2015,242,134.635573689497
"Peter",2015,243,145.112809429457
"Peter",2015,244,158.317234599113
"Peter",2015,245,163.577868928319
"Peter",2015,246,155.866642198285
"Peter",2015,247,163.862314256033
"Peter",2018,138,62.2791646213382
"Peter",2018,139,63.3697642160538
"Peter",2018,140,54.8570254957063
"Peter",2018,141,64.972487162997
"Peter",2018,142,75.3839404206424
"Peter",2018,143,88.4070298890186
"Peter",2018,144,105.764506786553
"Peter",2018,145,110.712815066762
"Peter",2018,146,120.797632708614
"Peter",2018,147,136.036478289752
"Peter",2018,148,149.635045864599
"Peter",2018,149,160.144238593229
"Peter",2018,150,174.168607075715
"Peter",2018,151,165.113273477891
"Peter",2018,152,143.454315311901
"Peter",2018,153,127.38332537592
"Peter",2018,154,122.119104934143
"Peter",2018,155,111.681549458999
"Peter",2018,156,110.114888844718
"Peter",2018,157,113.005368063595
"Peter",2018,158,111.10775343201
"Peter",2018,159,122.593190682665
"Peter",2018,160,124.945610739506
"Peter",2018,161,127.330251855128
"Peter",2018,162,137.428294419639
"Peter",2018,163,147.767258135571
"Peter",2018,164,153.899468374047
"Peter",2018,165,161.554691766367
"Peter",2018,166,150.652175430453
"Peter",2018,167,145.607486440662
"Peter",2018,168,152.619261056607
"Peter",2018,169,170.916844351077
"Peter",2018,170,179.020072839877
"Peter",2018,171,182.866361713104
"Peter",2018,172,188.028376100932
"Peter",2018,173,192.153543398874
"Peter",2018,174,199.181210980898
"Peter",2018,175,199.813517955279
"Peter",2018,176,193.746070512377
"Peter",2018,177,197.274292767068
"Peter",2018,178,201.208315434963
"Peter",2018,179,205.573823715158
"Peter",2018,180,219.609240882058
"Peter",2018,181,238.135377457717
"Peter",2018,182,239.245995988592
"Peter",2018,183,222.466230517189
"Peter",2018,184,237.147705846537
"Peter",2018,185,237.992107975087
"Peter",2018,186,241.614236188904
"Peter",2018,187,236.113978984965
"Peter",2018,188,237.86757456935
"Peter",2018,189,232.7575384226
"Peter",2018,190,247.909794448063
"Peter",2018,191,249.58404026907
"Peter",2018,192,248.671510293742
"Peter",2018,193,232.313315767259
"Peter",2018,194,231.256227480352
"Peter",2018,195,233.43486289758
"Peter",2018,196,247.483026074262
"Peter",2018,197,254.679292923017
"Peter",2018,198,241.796189141248
"Peter",2018,199,235.830693408559
"Peter",2018,200,239.401359859267
"Peter",2018,201,224.22921341932
"Peter",2018,202,202.650696657716
"Peter",2018,203,193.147295146716
"Peter",2018,204,200.043644602387
"Peter",2018,205,212.342720455252
"Peter",2018,206,220.692191244452
"Peter",2018,207,207.564532884474
"Peter",2018,208,196.960636837384
"Peter",2018,209,188.761104297177
"Peter",2018,210,191.320846080108
"Peter",2018,211,196.980992492264
"Peter",2018,212,208.166696641443
"Peter",2018,213,208.48997772823
"Peter",2018,214,189.342996000606
"Peter",2018,215,180.010192628178
"Peter",2018,216,181.751736045086
"Peter",2018,217,182.540395714244
"Peter",2018,218,197.543865385899
"Peter",2018,219,197.654458112804
"Peter",2018,220,203.730990773424
"Peter",2018,221,211.946439009571
"Peter",2018,222,222.166407161118
"Peter",2018,223,231.094888434894
"Peter",2018,224,238.847501810032
"Peter",2018,225,247.077469270552
"Peter",2018,226,256.11745985137
"Peter",2018,227,250.038947375268
"Peter",2018,228,248.190985183585
"Peter",2018,229,241.93926926761
"Peter",2018,230,235.364528737947
"Peter",2018,231,233.013559817214
"Peter",2018,232,230.929521547047
"Peter",2018,233,212.961405226488
"Peter",2018,234,200.799831853037
"Peter",2019,131,11.2946923713002
"Peter",2019,132,16.6831006781912
"Peter",2019,133,20.163248759073
"Peter",2019,134,25.5554133907716
"Peter",2019,135,37.3563417356812
"Peter",2019,136,46.0364644217359
"Peter",2019,137,52.0715438217882
"Peter",2019,138,41.7758557100457
"Peter",2019,139,25.5606780841895
"Peter",2019,140,23.0885675890416
"Peter",2019,141,30.9220026362301
"Peter",2019,142,37.517569526172
"Peter",2019,143,37.0488663193056
"Peter",2019,144,37.9799151839311
"Peter",2019,145,39.7786216322784
"Peter",2019,146,55.1800634605393
"Peter",2019,147,58.6618789334487
"Peter",2019,148,54.0712413270965
"Peter",2019,149,56.9222573359902
"Peter",2019,150,73.0221060219347
"Peter",2019,151,80.3526435493387
"Peter",2019,152,90.2461164714631
"Peter",2019,153,87.3221635040605
"Peter",2019,154,86.9942026884356
"Peter",2019,155,81.9234919419501
"Peter",2019,156,101.967906167481
"Peter",2019,157,103.366925513951
"Peter",2019,158,121.592698265231
"Peter",2019,159,137.945350459853
"Peter",2019,160,146.900129361857
"Peter",2019,161,134.270183864694
"Peter",2019,162,130.802181107574
"Peter",2019,163,129.550974534742
"Peter",2019,164,117.159198336789
"Peter",2019,165,115.151968560094
"Peter",2019,166,109.568689721888
"Peter",2019,167,117.854823983143
"Peter",2019,168,124.570157960772
"Peter",2019,169,137.139302905066
"Peter",2019,170,132.250799020961
"Peter",2019,171,137.105330065747
"Peter",2019,172,138.017490951391
"Peter",2019,173,145.233788764414
"Peter",2019,174,153.206373196993
"Peter",2019,175,146.370605901522
"Peter",2019,176,142.352196230268
"Peter",2019,177,151.344212609782
"Peter",2019,178,166.568352276234
"Peter",2019,179,172.413181730752
"Peter",2019,180,183.045881514654
"Peter",2019,181,191.584694621039
"Peter",2019,182,188.629388117572
"Peter",2019,183,185.756533322048
"Peter",2019,184,199.343985618522
"Peter",2019,185,214.735929588986
"Peter",2019,186,218.548165549918
"Peter",2019,187,222.684007444065
"Peter",2019,188,217.02431089043
"Peter",2019,189,209.649902474594
"Peter",2019,190,219.975138533452
"Peter",2019,191,230.499316984124
"Peter",2019,192,220.963200975252
"Peter",2019,193,217.48552937247
"Peter",2019,194,225.336628075996
"Peter",2019,195,222.477425203119
"Peter",2019,196,235.816033861297
"Peter",2019,197,244.607617370245
"Peter",2019,198,248.18902700119
"Peter",2019,199,242.088628562086
"Peter",2019,200,242.57785927676
"Peter",2019,201,241.486803853808
"Peter",2019,202,228.194385273377
"Peter",2019,203,222.37511118182
"Peter",2019,204,219.442042910857
"Peter",2019,205,221.981826360502
"Peter",2019,206,230.447133592879
"Peter",2019,207,226.937712743514
"Peter",2019,208,224.913289121179
"Peter",2019,209,230.198066494548
"Peter",2019,210,226.07748479138
"Peter",2019,211,213.133476092671
"Peter",2019,212,206.843400044623
"Peter",2019,213,210.042438920923
"Peter",2019,214,221.081886991258
