"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date","X.lake_year.","lake_year","normTemp","normChl"
"L",2009,232,21.4389941502389,1.50733972147624,6.31573428216319,84.1439078539885,NA,2009-08-20,"lake_year","L_2009",167.897610834229,57.5277585556382
"L",2009,233,20.3028978890048,1.28474968769673,6.29464973832986,80.8208903300024,NA,2009-08-21,"lake_year","L_2009",159.000372157722,49.0325895252499
"L",2009,234,19.8346999858488,1.1287065676706,6.30640779046181,81.5364924968771,NA,2009-08-22,"lake_year","L_2009",155.333721157838,43.0771895545386
"L",2009,235,19.8271375967367,1.09270478098132,6.30507556758333,81.7695416208402,NA,2009-08-23,"lake_year","L_2009",155.274496967784,41.7031780674638
"L",2009,236,20.4559493060089,1.11067224002014,6.33971558066319,84.4024134880092,NA,2009-08-24,"lake_year","L_2009",160.198980966965,42.3889077876567
"L",2009,237,20.5807696831621,1.33832615529902,6.35848752615625,84.5602783250025,NA,2009-08-25,"lake_year","L_2009",161.176500852487,51.0773403193642
"L",2009,238,20.3487423912329,1.15822771672631,6.33319696650347,83.4291033182989,NA,2009-08-26,"lake_year","L_2009",159.359399374206,44.2038669126451
"L",2009,239,20.7512784444449,1.48227553971329,6.35560720683333,86.1431104316264,NA,2009-08-27,"lake_year","L_2009",162.511825329236,56.571181762557
"L",2009,240,20.7682989157564,1.80632336270028,6.37801744716319,88.8571175449539,NA,2009-08-28,"lake_year","L_2009",162.645119664242,68.9384966124693
"L",2009,241,19.1015381102762,1.82077500834519,6.2895351715625,83.4277157818289,NA,2009-08-29,"lake_year","L_2009",149.59202794216,69.4900449924043
"L",2009,242,18.3740663519572,1.65287499142601,6.27473346551389,82.6879272195533,NA,2009-08-30,"lake_year","L_2009",143.894896382946,63.0821254655743
"L",2009,243,18.2800571088499,1.56906601363531,6.27458453723264,82.9216275370229,NA,2009-08-31,"lake_year","L_2009",143.158671203563,59.8835481505571
"L",2009,244,18.5597041967647,1.48141899720851,6.29283838682639,84.9060198492045,NA,2009-09-01,"lake_year","L_2009",145.348702956387,56.5384917393953
"L",2009,245,18.8432558994617,1.40768472617529,6.29449502177778,85.8800338830142,NA,2009-09-02,"lake_year","L_2009",147.569313358964,53.7244165307085
"L",2009,246,19.0714845878323,1.38540638076288,6.31323498510764,86.5418752888791,NA,2009-09-03,"lake_year","L_2009",149.356666405134,52.8741614371527
"L",2009,247,19.2489783823086,1.51302183740197,6.33789810511111,87.4429612283835,NA,2009-09-04,"lake_year","L_2009",150.74669355947,57.7446170304751
"L",2010,135,13.539748051197,1.71626277701966,6.63543739842478,99.680356499612,NA,2010-05-15,"lake_year","L_2010",106.035354698208,65.5013261096313
"L",2010,136,14.291868587245,1.4549348918794,6.73321960015625,101.203792335891,NA,2010-05-16,"lake_year","L_2010",111.925521008105,55.5277234333342
"L",2010,137,15.7917969059994,1.54834817050508,6.75144797454167,103.113655968494,NA,2010-05-17,"lake_year","L_2010",123.672078676654,59.0928497695563
