"lake","year","doyCat","mean_temp","mean_chl","mean_pH","mean_doSat","mean_do","date"
"R",2011,225,23.6883961976757,3.61078115342556,7.30916666666667,99.9948388082473,NA,2011-08-13
"R",2011,226,23.5868811624875,3.45253280740216,7.23895833333333,100.251798686497,NA,2011-08-14
"R",2011,227,24.2709103220991,3.23322877077628,7.20857638888889,101.867029829602,NA,2011-08-15
"R",2011,228,24.8450675961604,2.9895397072986,6.889375,100.615629290139,NA,2011-08-16
"R",2011,229,24.8006580100566,2.61540101729442,6.91503472222222,100.514937439536,NA,2011-08-17
"R",2011,230,24.5955503182954,2.89779643809732,6.98087419721181,101.14788685939,NA,2011-08-18
"R",2011,231,24.2325854211734,3.06245822720503,7.00022586452083,100.911393283152,NA,2011-08-19
"R",2011,232,23.8669569413333,2.89538129604898,6.90213080358333,99.8389966710609,NA,2011-08-20
"R",2011,233,23.3128389542524,2.70076714714116,6.84369108666667,99.1702180424301,NA,2011-08-21
"R",2011,234,22.8079450997701,2.54582173594107,6.75703652417361,98.6631761708311,NA,2011-08-22
"R",2011,235,22.5784659096295,2.41517610176641,6.69470004365625,97.7532975710543,NA,2011-08-23
"R",2011,236,22.4204164221605,2.09634213184231,6.59990628409028,96.7056418950896,NA,2011-08-24
"R",2011,237,22.3981719797467,1.84729053896232,6.62914034132118,96.480986016607,NA,2011-08-25
"R",2011,238,22.4980926148747,1.84046337779037,6.71984091027083,97.1610049285703,NA,2011-08-26
"R",2011,239,22.5990244852032,1.60664157580626,6.71579373296181,97.0810107303914,NA,2011-08-27
"R",2011,240,22.4273498784536,1.5770784809943,6.69487364126736,96.4412829646455,NA,2011-08-28
"R",2011,241,22.3118654368178,1.50791715694087,6.64898970522917,95.9765826323373,NA,2011-08-29
"R",2011,242,22.6582190111409,1.39272601021308,6.66032771173958,96.5549413390543,NA,2011-08-30
"R",2011,243,22.0681082975959,1.61490020173065,6.61668144981944,95.0881826271505,NA,2011-08-31
"R",2011,244,22.0923937663558,1.55542828635567,6.55672310558333,94.2230982582859,NA,2011-09-01
"R",2011,245,23.0715744765258,1.5246930910918,6.60604767257639,95.7629200406748,NA,2011-09-02
"R",2011,246,22.4666919697312,1.54841466852808,6.59848494588406,94.7604944801201,NA,2011-09-03
"L",2013,137,14.8532986111111,4.40737144150694,6.35451683888889,104.245818227778,9.87438066959028,2013-05-17
"L",2013,138,15.2538858890972,4.60080365900347,6.45824500285069,104.153852507292,9.81672335328819,2013-05-18
"L",2013,139,15.9095613230208,3.92590081565972,6.68844742597222,104.872932354167,9.72894507575,2013-05-19
"L",2013,140,17.4299429776389,3.43982427207292,6.64094875195486,109.800550486111,9.88573942818056,2013-05-20
"L",2013,141,18.3408215321528,3.18667054389236,6.58883928167014,106.269841121042,9.39760014331944,2013-05-21
"L",2013,142,16.4791190797569,3.35056639765972,6.61855582001389,95.8796302785069,8.79669168857986,2013-05-22
"L",2013,143,14.2971730837153,3.02590805748958,6.64958968601389,97.2247616072222,9.31812068744792,2013-05-23
"L",2013,144,14.2581848081597,3.036977175875,6.59080264389236,98.7109471525347,9.47195554445486,2013-05-24
"L",2013,145,15.3196180555556,2.1423200988125,6.53982933888889,101.06577139875,9.48435406866667,2013-05-25
"L",2013,146,16.2961805555556,1.94258023763542,6.50295433888889,100.817622938472,9.27970129088889,2013-05-26
"L",2013,147,16.7057482028125,2.28894117653472,6.50066520825694,99.7704175048958,9.11064970040278,2013-05-27
"L",2013,148,16.7489868666319,2.40143456516667,6.50820207316667,98.2118874731597,8.96119590807639,2013-05-28
"L",2013,149,16.9557108240278,2.31872190714236,6.47163238044444,97.8130942877778,8.88884672409375,2013-05-29
"L",2013,150,18.58,3.42293504334722,6.54139183888889,104.202738538993,9.19463184644444,2013-05-30
"L",2013,151,20.1078472222222,2.97041416382986,6.55960375468403,104.929902541007,9.02688879088889,2013-05-31
"L",2013,152,19.9991319444444,3.42418913758681,6.49594045,95.8419277215625,8.25848601311111,2013-06-01
"L",2013,153,17.2227430555556,3.38409893328819,6.50257239444444,96.011104556875,8.68296517977778,2013-06-02
"L",2013,154,17.3054861111111,2.33301534144792,6.54785017222222,98.1557158067361,8.86352073533333,2013-06-03
"L",2013,155,17.0961333333333,2.33277818226389,6.54373156042014,97.4121243509375,8.83009393835417,2013-06-04
